"REF_DATE","GEO","DGUID","Labour force characteristics","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011-02","Montréal, Quebec","2021S0503462","Unemployment rate","Standard error of estimate","Seasonally adjusted","Percent","239","units","0","v1642719974","1.5.2.1","0.5","","","","1"
"2011-02","Montréal, Quebec","2021S0503462","Unemployment rate","Standard error of month-to-month change","Seasonally adjusted","Percent","239","units","0","v1642719976","1.5.3.1","0.5","","","","1"
"2011-02","Montréal, Quebec","2021S0503462","Participation rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1642719980","1.6.1.1","67.1","","","","1"
"2011-02","Montréal, Quebec","2021S0503462","Participation rate","Estimate","Unadjusted","Percent","239","units","0","v1642719981","1.6.1.2","66.0","","","","1"
"2011-02","Montréal, Quebec","2021S0503462","Participation rate","Standard error of estimate","Seasonally adjusted","Percent","239","units","0","v1642719982","1.6.2.1","0.7","","","","1"
"2011-02","Montréal, Quebec","2021S0503462","Participation rate","Standard error of month-to-month change","Seasonally adjusted","Percent","239","units","0","v1642719984","1.6.3.1","0.5","","","","1"
"2011-02","Montréal, Quebec","2021S0503462","Employment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1642719988","1.7.1.1","61.7","","","","1"
"2011-02","Montréal, Quebec","2021S0503462","Employment rate","Estimate","Unadjusted","Percent","239","units","0","v1642719989","1.7.1.2","60.6","","","","1"
"2011-02","Montréal, Quebec","2021S0503462","Employment rate","Standard error of estimate","Seasonally adjusted","Percent","239","units","0","v1642719990","1.7.2.1","0.8","","","","1"
"2011-02","Montréal, Quebec","2021S0503462","Employment rate","Standard error of month-to-month change","Seasonally adjusted","Percent","239","units","0","v1642719992","1.7.3.1","0.5","","","","1"
"2011-02","Toronto, Ontario","2021S0503535","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642719996","2.1.1.1","4709.2","","","","1"
"2011-02","Toronto, Ontario","2021S0503535","Population","Estimate","Unadjusted","Persons in thousands","428","units","0","v1642719997","2.1.1.2","4709.2","","","","1"
"2011-02","Toronto, Ontario","2021S0503535","Labour force","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642720004","2.2.1.1","3216.9","","","","1"
"2011-02","Toronto, Ontario","2021S0503535","Labour force","Estimate","Unadjusted","Persons in thousands","428","units","0","v1642720005","2.2.1.2","3144.3","","","","1"
"2011-02","Toronto, Ontario","2021S0503535","Labour force","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642720006","2.2.2.1","33.1","","","","1"
"2011-02","Toronto, Ontario","2021S0503535","Labour force","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","units","0","v1642720008","2.2.3.1","21.3","","","","1"
"2011-02","Toronto, Ontario","2021S0503535","Employment","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642720012","2.3.1.1","2941.3","","","","1"
"2011-02","Toronto, Ontario","2021S0503535","Employment","Estimate","Unadjusted","Persons in thousands","428","units","0","v1642720013","2.3.1.2","2896.0","","","","1"
