date,City,employment,employment_rate,labour_force,participation_rate,population,unemployment,unemployment_rate
2024-12-01,Montreal,2409.8,63.0,2568.9,67.1,3826.7,159.1,6.2
2024-12-01,Toronto,3717.2,61.3,4065.7,67.1,6060.4,348.5,8.6
2024-12-01,Vancouver,1676.3,62.8,1789.9,67.0,2669.7,113.6,6.3
2025-01-01,Montreal,2412.9,62.9,2581.4,67.3,3833.8,168.5,6.5
2025-01-01,Toronto,3743.3,61.7,4100.4,67.5,6070.9,357.1,8.7
2025-01-01,Vancouver,1696.6,63.4,1820.2,68.0,2675.3,123.7,6.8
2025-02-01,Montreal,2413.0,62.8,2577.7,67.1,3839.5,164.7,6.4
2025-02-01,Toronto,3756.9,61.8,4107.2,67.6,6079.7,350.3,8.5
2025-02-01,Vancouver,1703.5,63.5,1829.0,68.2,2680.8,125.5,6.9
2025-03-01,Montreal,2413.4,62.8,2590.0,67.4,3845.5,176.5,6.8
2025-03-01,Toronto,3726.6,61.2,4083.3,67.1,6089.2,356.6,8.7
2025-03-01,Vancouver,1710.1,63.7,1825.8,68.0,2685.9,115.7,6.3
2025-04-01,Montreal,2416.3,62.7,2600.0,67.5,3851.8,183.8,7.1
2025-04-01,Toronto,3733.3,61.2,4081.5,66.9,6098.2,348.2,8.5
2025-04-01,Vancouver,1702.3,63.3,1817.0,67.5,2691.0,114.7,6.3
2025-05-01,Montreal,2399.4,62.2,2569.6,66.6,3857.2,170.2,6.6
2025-05-01,Toronto,3715.4,60.9,4081.5,66.9,6103.4,366.1,9.0
2025-05-01,Vancouver,1713.0,63.6,1832.1,68.0,2694.0,119.1,6.5
2025-06-01,Montreal,2418.4,62.6,2600.2,67.3,3864.5,181.8,7.0
2025-06-01,Toronto,3730.4,61.1,4079.0,66.8,6109.9,348.6,8.5
2025-06-01,Vancouver,1725.8,64.0,1834.3,68.0,2698.3,108.6,5.9
2025-07-01,Montreal,2396.8,61.9,2557.4,66.1,3869.5,160.6,6.3
2025-07-01,Toronto,3697.9,60.5,4065.6,66.5,6114.3,367.7,9.0
2025-07-01,Vancouver,1699.4,62.9,1812.0,67.1,2702.0,112.6,6.2
2025-08-01,Montreal,2395.1,61.8,2568.7,66.3,3873.2,173.5,6.8
2025-08-01,Toronto,3701.9,60.5,4057.5,66.3,6118.0,355.6,8.8
2025-08-01,Vancouver,1679.9,62.1,1795.9,66.4,2705.0,116.0,6.5
2025-09-01,Montreal,2404.9,62.1,2564.7,66.2,3872.4,159.8,6.2
2025-09-01,Toronto,3719.7,60.8,4071.6,66.5,6122.8,351.9,8.6
2025-09-01,Vancouver,1688.3,62.4,1799.8,66.5,2706.2,111.5,6.2
2025-10-01,Montreal,2422.3,62.6,2572.7,66.5,3871.3,150.4,5.8
2025-10-01,Toronto,3744.2,61.1,4081.9,66.6,6126.3,337.7,8.3
2025-10-01,Vancouver,1683.9,62.2,1797.8,66.4,2706.3,113.8,6.3
2025-11-01,Montreal,2420.3,62.5,2567.7,66.3,3870.0,147.4,5.7
2025-11-01,Toronto,3782.0,61.7,4103.1,66.9,6129.3,321.2,7.8
2025-11-01,Vancouver,1693.1,62.6,1803.4,66.6,2706.1,110.2,6.1
2025-12-01,Montreal,2398.7,62.0,2557.2,66.1,3867.5,158.5,6.2
2025-12-01,Toronto,3757.4,61.3,4089.3,66.7,6131.2,331.9,8.1
2025-12-01,Vancouver,1687.0,62.3,1804.7,66.7,2705.8,117.8,6.5
2026-01-01,Montreal,2428.9,62.8,2592.9,67.1,3865.4,164.0,6.3
2026-01-01,Toronto,3737.4,61.0,4048.8,66.1,6123.8,311.4,7.7
2026-01-01,Vancouver,1691.4,62.6,1802.8,66.7,2702.4,111.4,6.2
2026-02-01,Montreal,2372.5,61.4,2556.6,66.2,3861.8,184.1,7.2
2026-02-01,Toronto,3742.0,61.2,4087.8,66.8,6118.2,345.8,8.5
2026-02-01,Vancouver,1680.8,62.3,1783.7,66.1,2699.2,103.0,5.8
2026-03-01,Montreal,2396.3,62.1,2559.9,66.3,3858.4,163.7,6.4
2026-03-01,Toronto,3724.3,60.9,4059.1,66.4,6114.4,334.7,8.2
2026-03-01,Vancouver,1674.3,62.1,1795.6,66.6,2696.7,121.3,6.8
2026-04-01,Montreal,2373.1,61.6,2570.4,66.7,3855.1,197.3,7.7
2026-04-01,Toronto,3760.0,61.5,4083.5,66.8,6109.9,323.5,7.9
2026-04-01,Vancouver,1677.1,62.3,1802.6,66.9,2694.0,125.6,7.0
2026-05-01,Montreal,2408.4,62.5,2576.0,66.9,3852.3,167.5,6.5
2026-05-01,Toronto,3768.3,61.7,4042.2,66.2,6107.0,273.8,6.8
2026-05-01,Vancouver,1692.3,62.9,1807.5,67.1,2692.1,115.2,6.4
2026-06-01,Montreal,2467.0,64.1,2621.7,68.1,3850.5,154.7,5.9
2026-06-01,Toronto,3752.9,61.5,4031.5,66.0,6104.8,278.6,6.9
2026-06-01,Vancouver,1698.3,63.1,1818.2,67.6,2691.2,119.9,6.6
2026-07-01,Montreal,2429.3,63.1,2599.9,67.6,3847.2,170.6,6.6
2026-07-01,Toronto,3793.4,62.2,4065.8,66.6,6102.8,272.4,6.7
2026-07-01,Vancouver,1707.1,63.5,1815.5,67.5,2689.7,108.4,6.0
